Location,gun_violence
Illinois,5089
California,4588
Florida,4156
Texas,2875
Ohio,2701
Pennsylvania,2172
North Carolina,2141
New York,2031
Georgia,1994
Louisiana,1987
Tennessee,1874
Massachusetts,1761
Missouri,1730
South Carolina,1721
Maryland,1579
Indiana,1483
Virginia,1473
Alabama,1461
Wisconsin,1369
Michigan,1360
New Jersey,1342
District of Columbia,1142
Kentucky,1030
Mississippi,1029
Washington,881
Oklahoma,866
Arkansas,820
Colorado,809
Connecticut,780
Minnesota,759
Arizona,587
Iowa,586
Kansas,578
Oregon,511
New Mexico,448
Nebraska,439
Nevada,437
West Virginia,390
Delaware,389
Alaska,317
Utah,224
New Hampshire,206
Maine,203
South Dakota,199
Rhode Island,191
Montana,167
Idaho,163
North Dakota,133
Wyoming,91
Vermont,71
Hawaii,68
